circular_no,name,date,link
1.1.6,Payment of Gratuity and Leave Encashment.,15.09.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.6.pdf
1.1.5,"Delegation of Power to Chairman,Members and other officers of the NHAI ?Modification of power for Authorization of tour of officers in field offices (i.e. ZOs,ROs,SLOs,PIUs,CMUs and site offices,etc)",08.09.2011,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.5.pdf
1.1.4,"Delegation of Powers to Chairman,Member and other officers of NHAI",07.09.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.4.pdf
1.1.3,"Delegation of powers to Chairman,Members and other officers of the Authority",03.03.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.3.pdf
1.1.2,"Delegation of Powers to Chairman,Members and other officers of NHAI",05.05.2006,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.2.pdf
1.1.1,Delegation of powers for creation of posts in NHAI.,02.05.1997,https://library.nhai.org/nhailibrary/Assets/Pdf/1.1.1.pdf
2.1.1,Regulation of facilities and perquisites in case of officers taken on deputation in NHAI,18.02.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.1.1.pdf
2.2.3,"NHAI (HRA & Leased Accommodation) Regulations, 1997 (as amended) – Revision of ceiling rates of Lease Rent & License Fee - reg.",10.01.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.2.3.pdf
2.2.2,Procedure for referring the Arbitral Award to the Court of Law.,25.10.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.2.2.pdf
2.2.1,"NHAI (HRA & Leased Accommodation) Regulation, 1997 : Revision of ceiling of rent for leased accommodation.",01.01.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.2.1.pdf
2.3.11,"Simplified Procedure for Re-imbursement of Internet/ Phone Rental Call Charges under Special Campaign 4.0, Para 3(j) of MoRT&H OM No. CD-13012/01/2024-Coord dated 11.09.2024 -reg.",24.05.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.11.pdf
2.3.10,Fee of Arbitrators in case of Civil Engineering Construction Contracts / Supervision consultant,24.05.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.10.pdf
2.3.9,Clarification regarding the period of depreciation calculation in respect of retention of Laptop/i-Pad/Tablet/Similar Device or Mobile -reg.,3.12.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.9.pdf
2.3.8,Procedure for challenging the Arbitral Award passed by majority of Arbitrators and also containing Dissenting Note of one Arbitrator.,13.06.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.8.pdf
2.3.7,Strict compliance of the contractual and statutory provision for appointment of arbitrator by NHAI.,19.2.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.7.pdf
2.3.6,Filing of appeals in arbitration matters before the courts of law.,22.11.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.6.pdf
2.3.5,Procedure for ferring the matter for arbitration/ filing petition or appeal in court of law.,25.7.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.5.pdf
2.3.4,"Revise ceiling limits for  laptop, reimbursement of cost of mobile instruments; telephone rental/call charges; and retentions of mobile instruments and laptops",8.5.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.4.pdf
2.3.3,Facility of mobile phone instrument to all officers in the level of Managers and DGMs.,06.09.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.3.pdf
2.3.2,Fee of arbitrators in case of civil Engineering construction contracts/ supervision consultant.,13.01.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.2.pdf
2.3.1,"Charges for conducting arbitral proceedings in Conference Room at NHAI,Dwarka.",21.10.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.3.1.pdf
2.4.7,Reimbursement of medical expenses in those cases where officer/ employee seeks permission to allow Husband and/or wife to avail benefit of medical facility from their respective organization-reg.,27.11.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.4.7.pdf
2.4.6,Fast tracking of Settlement mechanism-revised Delegation of powers by Authority to the Executive Committee of NHAI.,24.02.2015,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.4.6.pdf
2.4.5,Independent Settlement Mechanism-Submission of undertaking by Authorized Representative of the contractor and finalization of Settlement agreement.,11.11.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.4.5.pdf
2.4.4,Annual Medical Examination for all officers of NHAI who are above the age of 40 years on regular/deputation basis.,18.09.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.4.4.pdf
2.4.3,Simplifications of procedures for settling claims of reimbursement of expenditure incurred on medical grounds,29.08.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.4.3.pdf
2.4.2,Reimbursement of medical expenditure to employees made against a certification in respect of actual expenses incurred.,16.12.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.4.2.pdf
2.4.1,Constitution of Independent Settlement Advisory Committee (ISAC)-Dispute Resolution Mechanism.,14.03.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.4.1.pdf
2.5.2,Air Travel permission for DGM/ Manager level officers.,28.01.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.5.2.pdf
2.5.1,LTC facility to contractual employees.,30.06.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.5.1.pdf
2.6.8,"Reimbursement of the Amount for Purchase of Briefcase/ Ladies Bag/ Hand Bag/ Office Bag, etc. -reg.",28.03.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.6.8.pdf
2.6.7,Revision in Dress Allowance w.e.f. 01.01.2024-reg.,17.03.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.6.7.pdf
2.6.6,Extension of Special Concessions/Incentives to the Central Government (NHAI) Employees working in Kashmir Valley for a further period of three years w.e.f. 01.08.2024-reg,07.03.2025,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.6.6.pdf
2.6.5,"NHAI (Travelling Allowance & Daily Allowance) Regulation 1997 - Revised Entitlements in respect of Hotel Tariffs, Travelling Allowances, etc.-reg.",31.07.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.6.5.pdf
2.6.4,Allowing maximum 10 days stay at Hotel to Officers/ Employees of NHAI on transfer in Public Interest -reg.,25.07.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.6.4.pdf
2.6.3,Implementation of decisions relating to Special Allowance for Child Care for Women with disabilities -reg.,06.05.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.6.3.pdf
2.6.2,Implementation of Special Concession to Central Government employees working in Kashmir Valley as per DoPT Office Memorandum dated 14.10.2020 & 12.09.2022-reg.,01.03.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.6.2.pdf
2.6.1,Payment of retainership fee (Contractor\`s Share) of Dispute Review Expert/ Member or Chairman of Dispute Review Board after release of final bill payment.,24.2.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/1.2.6.1.pdf
3.1.39,Reimbursement of Children Education Allowance and Hostel Subsidy in accordance with New Education Policy 2020- reg.,17.05.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.39.pdf
3.1.38,Acceptance of ‘Bid Security and Performance Security’ as physical Bank Guarantee till 31.03.2023,23.12.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.38.pdf
3.1.37,"Corrigendum to Circular No. 3.1.36/2022 dated 05.12.2022 on the subject ‘Amendment in General Financial Rule (GFR), 2017 – Acceptance of electronic Bank Guarantee (e-BG)’ - reg.",19.12.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.37.pdf
3.1.36,"Amendment in General Financial Rule (GFR), 2017 – Acceptance of electronic Bank Guarantee (e-BG)  - reg.",05.12.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.36.pdf
3.1.35,Revision of Deputation (Duty) Allowance and Special Allowance for Child Care for Women with disabilities on increase of Dearness Allowance to 50% - reg.,31.05.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.35.pdf
3.1.34,Adoption of enhancement of maximum limit of Retirement Gratuity and Death Gratuity from Rs.20 lakh to Rs.25 lakh,31.05.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.34.pdf
3.1.33,Revision of rates of House Rent Allowance (HRA) after increase of Dearness Allowance (DA) to 50%,28.02.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.33.pdf
3.1.32,Guidelines related to acceptance of  ‘Commercial Employment after Retirement’ in respect of Officers and Employees of NHAI – Reg.,06.05.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.32.pdf
3.1.31,Amendment to proforma for Omnibus Bank Guarantee for Consultancy Assignment on National Highways-reg.,24.06.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.31.pdf
3.1.30,Provision for Service Bond in case of Direct Recruitment made by NHAI – Reg.,20.01.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.30.pdf
3.1.29,"Standard Operating Procedure (SOP) for processing the cases for extension of tenure of External Professionals (EPs) and Young Professionals (YPs), acceptance of premature resignation and enhancement of remuneration, etc.- reg.",06.01.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.29.pdf
3.1.28,Delegation of Power to reduce the Performance Security Bank Guarantee (PSBG) to 3% of contract value.,29.12.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.28.pdf
3.1.27,"Instruction of Ministry of Finance, Department of Expenditure regarding (i) Performance Security, (ii) Additional Security Deposit/Bank Guarantee(BG) in case of Abnormally Low Bids (ALBs) and (iii) Bid Security/ Earnest Money Deposit",19.11.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.27.pdf
3.1.26,"Procedure for seeking extension, replacement or invocation of the Bank Guarantee(s)",13.03.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.26.pdf
3.1.25,Guidelines for screening of applications – equivalence of CDA vis-à-vis IDA Pay Scales - reg.,04.09.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.25.pdf
3.1.24,Policy for release of Bank Guarantees submitted by the Concesionaires/Contractors towards Mobilisation Advances in Hybrid Annuity (HAM)/EPC Contracts.,01.10.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.24.pdf
3.1.23,Deletion of Regulation 13 pertaining to ‘absorption” in NHAI Recruitment Regulations-reg.,10.09.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.23.pdf
3.1.22,Policy for submission of all types of Bank Guarantee linking through Structured Financial Message System (SFMS) and its verifications of genuineness.,23.01.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.22.pdf
3.1.21,"Delegation of Powers to CGMs regarding shifting of uitlities,extension of time in consultancy contracts and encashment/release of BGs.",30.12.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.21.pdf
3.1.20,Modified proforma for Omnibus Bank Guarantee for Consultancy assignments on National Highways & related Centrally sponsored works.,02.07.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.20.pdf
3.1.19,Clarification to NHAI/Policy Guidelines/External Professionals & Young Professional/2007,24.01.0014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.19.pdf
3.1.18,"Regarding Pay, allowances & Facilities for overseas offices.",27.11.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.18.pdf
3.1.17,"Clarification to NHAI/Policy Guidelines for External Professionals & Young Professionals/2017 issued vide circular No. 1.3.1.12/2017 Dated, the 21st June, 2017.",30.10.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.17.pdf
3.1.16,Guidelines and procedures for Internship Scheme in NHAI.,14.9.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.16.pdf
3.1.15,Guidelines and Procedures for engaging External Professionals and Young Professionals in NHAI.,16.07.2012,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.15.pdf
3.1.14,Procedure for seeking invocation of the Bank Guarantee(s),28.06.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.14.pdf
3.1.13,Non-acceptance of certified cheques as instrument of accepting the bid security-reg.,04.01.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.13.pdf
3.1.12,Guidelines and Procedures for engaging External Professionals & Young Professionals in NHAI.,14.02.2005,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.12.pdf
3.1.11,"Partial Modification to Policy No. 1.3.1.10/2016 dated 08.11.2016, the Review Committee.",18.11.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.11.pdf
3.1.10,Procedure for seeking ension or invocation of the bank Guarantee(s),15.03.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.10.pdf
3.1.9,Obtaining undertaking from officers and employees of NHAI (including deputationist and long-term/short-term contract employees).,03.03.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.9.pdf
3.1.8,Charge of interst at SBI PLR plus 2% for grant of additional advance or for deferment of recovery of advances,25.02.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.8.pdf
3.1.7,Guidelines for screening of applications ?equivalence of CDA vis-?-vis IDA pay scales.,21.10.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.7.pdf
3.1.6,Interest @6% p.a. on early release of retention money,28.8.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.6.pdf
3.1.5,Status and perquisites of CVO as Functional Director of Board Level.,05.05.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.5.pdf
3.1.4,Guidelines for release of Retention Money against Bank Guarantee,20.12.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.4.pdf
3.1.3,Guidelines for release of Retention Money against Bank Guarantee,23.09.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.3.pdf
3.1.2,Creation of various posts in Finance Division of Authority- 26th Authority meeting decision,16.09.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.2.pdf
3.1.1,Recruitment of officers and employees in NHAI- 16th Authority meeting decision,02.08.2002,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.1.1.pdf
3.2.34,Posting on Transfer/ Rotation of Secretarial Personnel – Reg.,30.04.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.34.pdf
3.2.33,Posting on Transfer/ Rotation of Finance Personnel – Reg.,30.04.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.33.pdf
3.2.32,Group Insurance Scheme for the employees of NHAI - Enhancement of Insurance Coverage.,22.05.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.32.pdf
3.2.31,Payment of provisional pay-reg.,21.12.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.31.pdf
3.2.30,Transfers & Postings in NHAI,03.12.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.30.pdf
3.2.29,"Extension of deputation period of Technical Officers (Manager (T), DGM (T) & GM (T)] - Qualitative Assessment of Performance of Officers before considering their extension- reg.",08.07.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.29.pdf
3.2.28,Guideline to deal with claims for compensation to the victims/Families of the victims who die or become permanently disabled due to negligence and /or unforeseen causes at the workplace in NHAI reg.,06.03.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.28.pdf
3.2.27,Guidelines reg. deputation of all officers in NHAI.,16.05.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.27.pdf
3.2.26,Remittance of Gratuity Contribution and other statutory contributions in respect of officers from State/Central PSUs on deputation to NHAI,27.03.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.26.pdf
3.2.25,Group Life Insurance for the employees of NHAI-reg.,02.07.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.25.pdf
3.2.24,Policy regarding  Annual Property Returns and Financial transactions in respect of the officers working on deputation in NHAI.,15.03.2018,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.24.pdf
3.2.23,Remittance of Gratuity Contribution and other such statutory contributions sought by the parent departments of officers from State/Central PSUs on deputation to NHAI.,07.06.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.23.pdf
3.2.22,"Modification of Individual Target Setting Process at NHAI w.e.f. 1st April, 2016",29.03.2016,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.22.pdf
3.2.21,Regulation of Gratuity in case of employees absorbed in NHAI from Central Government/ State Government Deptts/Autonomous Bodies/PSUs.,22.07.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.21.pdf
3.2.20,Prohibition on bringing any political or outside influence in respect of matters pertaining to service under NHAI.,03.02.2014,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.20.pdf
3.2.19,Policy on Annual Performance Appraisal Report (APAR) [earlier known as ACR] and issues related thereto,17.06.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.19.pdf
3.2.18,Change in deputation period from 3 to 5 years.,15.05.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.18.pdf
3.2.17,Clarification on encashment of earned leave and half-pay leave,13.05.2013,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.17.pdf
3.2.16,Advance Planning Sanction’ of the projects awaiting Administrative and Financial sanction from Standing Finance Committee (SFC)/ Government of India- reg.,28.10.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.16.pdf
3.2.15,Guidelines for Fast Tracking Payment in the Last Quarter of FY-2023-24– reg.,23.01.2024,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.15.pdf
3.2.14,"Standard Operating Procedure (SOP) for release of payments to the Contactors in terms of CCEA Decisions, conveyed vide NITI Aayog OM dated 28.11.2019.",16.10.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.14.pdf
3.2.13,Monthly review by Member (F) of the matters involving revenue generation and expenditure with concerned divisions of NHAI,04.05.2020,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.13.pdf
3.2.12,"Extension of deputation tenure/absorption in respect of Manager (Tech),DGM (Tech) and GM(Tech) level officers in NHAI- Ministry?s direction.",05.12.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.12.pdf
3.2.11,Relaxation of Sanction limits for making payments till 31.12.2019,18.11.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.11.pdf
3.2.10,Extension of Applicability of the circular no. NHAI/CGM(F&A)/2013 on securitization of future cash flow in BOT (Toll) Projects to BOT (Annuity) Projects.,08.03.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.10.pdf
3.2.9,Standardization of procedure for financial scrutiny of the payment proposals by Finance Division in NHAI HQ.,10.11.2010,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.9.pdf
3.2.8,"Grant of Grade pay of Rs.4,800/- (PB-2) and Rs.5,400/- (PB-3) to Private Secretaries on completion of 4 years of regular service.",04.08.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.8.pdf
3.2.7,"Grant of Grade pay of Rs.4,800/- (PB-2) and Rs.5,400/- (PB-3) to Private Secretaries on completion of 4 years of regular service.",17.04.2009,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.7.pdf
3.2.6,Banking of receipt on sale of tenders and deposit of earnest money in the form of DD/ Bankers cheque.,27.8.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.6.pdf
3.2.5,Introductino of Non-functional pay scale of Rs.8000-275-13500 to Private Secretaries of NHAI,07.03.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.5.pdf
3.2.4,Accounting procedures for payment made to Government agencies for preconstruction activities.,08.02.2008,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.4.pdf
3.2.3,Implementing E-payments through Electronic Transfer,06.07.2007,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.3.pdf
3.2.2,Channel of submission of ACRs in respect of officers and staff of NHAI.,13.05.2004,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.2.pdf
3.2.1,"Amendment to the National Highways Authority of India (leave) Regulations,1997 - Board Decision",05.05.2003,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.2.1.pdf
3.3.28,Clarification regarding applicability of GST on payment of Annuity under BOT projects completed before implementation of GST on 01.07.2017.,17.01.2023,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.28.pdf
3.3.27,Revision of norms/ guidelines for engagement of manpower on short term basis in the field offices of NHAI.,23.12.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.27.pdf
3.3.26,Clarification regarding calculation of GST against change in rates from 18.07.2022 on the activity of construction of road in case of EPC projects under Change in Law - reg.,24.11.2022,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.26.pdf
3.3.25,"Bearing the Additional Income Tax liability on perquisite of accommodation provided to NHAI’s employees who occupy NHAI’s Residential Accommodation as per the provision of Section 10 (10CC) of Income Tax Act, 1961",07.12.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.25.pdf
3.3.24,Revision of consolidated emoluments payable to the Short-term contract employees in NHAI engaged through agency.,24.11.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.24.pdf
3.3.23,Clarification regarding applicability of GST on payment of Annuity under BOT projects completed before implementation of GST on 01.07.2017- reg.,24.11.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.23.pdf
3.3.22,Clarification regarding applicability of GST on payment of Annuity under BOT projects completed before implementation of GST on 01.07.2017- reg.,22.11.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.22.pdf
3.3.21,Clarification regarding applicability of GST on the activity of construction of road where considerations are received in deferred payment HAM (Annuity) – reg.,01.09.2021,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.21.pdf
3.3.20,"Standard Operating Procedur for HAM Concessionaire due to Change in Law on account of introduction of GST Act,2017-reg.",29.07.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.20.pdf
3.3.19,Charging of GST on the Estimated Cost of the work against raising/shifting of utility by utility owning agencies (in addition to the supervision charge & block charges including GST).,12.07.2019,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.19.pdf
3.3.18,Consolidated emoluments payable to the Short-term contract employees in NHAI- clarification regarding payment of statutory charges.,17.11.2017,https://library.nhai.org/nhailibrary/Assets/Pdf/1.3.3.18.pdf
